P32657	P43639
Q12046	P53333
Q12046	P52868
Q12046	P38241
Q12046	P21374
Q12046	Q02260
Q12046	P43321
Q12046	P36048
Q12046	Q04048
Q12046	P53277
Q12046	P36118
P53854	Q12309
P53854	P33334
P53854	P36048
P40568	Q12748
P40568	P47167
P40568	Q12493
P47026	P38707
P47026	P25588
P47026	P14906
P47026	P11075
P47026	P47140
Q12143	Q12748
Q12143	P47167
Q12143	Q12493
P40359	Q12488
P32558	P43639
Q02776	P23644
Q05541	Q07913
Q06344	Q06631
Q06344	P20448
Q06344	P40079
Q06344	P38882
Q06344	P48234
P53201	Q06706
P53230	P19882
P38789	Q06218
P38789	P32892
P38789	P36049
P38789	Q04660
P38789	P10962
P38789	Q08962
P38789	P40007
P38789	P40991
P38789	P37838
P38789	P53261
P38789	P38805
P38789	P36160
P38789	P41805
P38789	P26784
P38789	P05740
P38789	P0C2H6
P38789	P14120
P38789	P38061
P38789	P49167
P38789	Q12522
P38789	P38789
P38789	Q12024
P38803	P53877
P47077	P32501
P47077	P27476
P47077	P39990
P47087	P53389
P47087	Q12372
P47087	P39108
P47087	P39105
P47168	Q01163
P36046	P00330
P36046	P40069
Q07844	P38285
Q07844	P38928
Q07844	Q06704
Q07844	Q07418
Q07844	Q12471
Q07844	Q12300
Q07844	P10964
Q07844	P11972
Q07844	P22217
Q07844	P22803
Q07844	Q12088
Q07844	P40395
Q07844	Q12465
Q12208	P07256
Q12208	P32523
Q12530	P38208
Q06411	P40968
Q06411	Q03654
Q06411	Q12309
Q06411	P38241
Q06411	P32523
Q06411	Q12417
Q06411	P43321
Q06411	Q06091
Q06411	P36048
Q06411	Q04048
Q03718	P43124
P42842	P38088
P42842	P16474
P42842	P09734
Q06214	Q07457
P40010	Q07896
P40010	Q12019
P46995	P08518
Q08204	P39955
Q08204	P39734
Q05541	Q02516
Q05541	P53919
Q05541	P43123
Q05541	Q06208
Q03718	P38116
Q03718	P32828
Q03718	Q06675
Q03718	P39946
Q03718	P46679
Q03718	Q12379
Q03718	P50623
Q03718	P53044
P38789	P36080
P53276	P39985
P38882	P39985
P42945	P39985
P40362	Q12220
P53254	P19454
P41909	P35844
P53261	Q08962
P53261	P10962
P53261	P32892
P53261	P38771
P53261	P36049
P53261	P25582
P53261	P40007
P00958	P00958
P39935	P46655
P40032	P40032
Q08979	Q08979
P20447	P29311
P20447	P20447
P27476	P27476
Q06685	P27476
P20447	P28007
P20447	P32495
P28007	P28007
P28007	Q07623
P28007	Q04867
P53064	P33322
P38882	P33322
Q06685	P33322
P53336	P32495
P53336	P53336
P20447	Q12460
Q12499	Q12499
Q12499	Q12464
P27476	Q12460
P38779	P39730
P36120	P36120
P36120	P39730
P36120	Q12176
P36120	Q05022
Q12176	P39730
Q12176	Q12176
Q05022	Q05022
P53276	Q05022
P47019	P39730
P20448	P20448
P47047	P47047
P36120	Q06504
Q12387	Q12387
Q06504	Q06504
P39744	P39744
Q07896	Q07896
Q07896	Q08647
Q08647	Q08647
P40856	Q02792
P40856	P40856
P20604	P38623
P20604	P20604
P24276	P36123
P32639	P32639
P22147	P22147
P57743	Q03338
P57743	P20053
P57743	P19735
P57743	P36048
P57743	Q05471
P40089	P22147
Q06406	Q06406
P25644	P25644
Q03338	P37297
P20447	P15646
P20448	P15646
P22147	P15646
Q12387	P15646
P39744	P15646
P27476	P15646
P39935	P15646
Q04600	P15646
P36120	P06634
P28007	P06634
P22147	P06634
P47047	P06634
Q07896	P06634
Q12499	P06634
P27476	P06634
P40856	P06634
Q04067	P06634
Q04600	P06634
P20448	P04147
Q08979	P04147
P47047	P04147
P39744	P04147
Q07896	P04147
Q12499	P04147
P27476	P04147
Q04600	Q04600
P20434	P47170
P39935	P25694
P39935	P47170
P39935	P40069
P39935	P39935
P39935	P04786
P39935	P16521
P40032	P16521
Q08979	Q01560
Q12499	Q01560
Q01560	Q01560
Q06506	Q06506
Q08162	Q08162
P38801	P38801
P38801	Q08285
P38801	P25359
P07703	Q12149
P04050	Q12149
Q05636	Q05636
P53256	P53256
Q12149	Q12149
P47006	P28000
P20434	P28000
P20434	P25441
P47076	P47076
P47076	P36121
P35718	P40164
P35718	P28000
P35718	P36121
P32910	P17890
P32910	P32910
P32910	P38198
P04051	P04051
P10964	P20435
P47006	P20435
Q01080	P20435
P16370	P16370
P20434	P20434
P35718	P20434
P35718	P20435
P04050	P04050
P41895	P41895
P10964	P10964
P47006	P47006
P47006	P40008
Q01080	Q01080
P07703	P07703
Q05636	Q01080
Q04225	P14126
Q04225	Q04225
Q12149	Q04225
Q08920	Q08920
P40968	P34160
P34160	P34160
Q04660	Q04660
P53261	P53261
P38961	P38961
Q07478	Q07478
P17629	P17629
P33441	P33441
P33441	P53851
P53552	P53552
P53552	P53851
O13539	O13539
O13539	P53851
P32481	P32597
P32832	Q05123
P32832	P32832
Q06488	Q05123
Q06488	Q06488
Q06639	Q05123
Q06639	Q06639
Q06639	Q02206
Q02206	Q05123
Q02206	Q02206
Q07979	Q05123
Q07979	Q07979
Q07979	Q03124
P43609	P43609
Q03124	Q05123
P53330	P32832
P53330	P53330
Q08278	P32259
P32569	P32259
P32569	P32569
P32585	P32259
P32585	P32585
Q01329	P09436
P32367	P09436
P32367	P32367
P32605	P32605
P32605	P39682
P33203	P39682
P33203	P33203
Q01329	P32605
Q03782	P39682
Q03782	P38811
Q01329	P42842
P42842	P42842
P07273	P07273
P20434	P07273
Q03862	Q03862
Q03862	P10664
Q03862	P29453
Q08208	P29453
P38779	P38779
P47019	P38779
Q08208	Q08208
P21304	P21304
Q06685	P21304
P53313	P25293
Q06685	P25293
P38344	P25293
P38344	P38344
P36159	P25293
P36159	P36159
Q12453	P25293
Q06344	Q06344
P07273	P39985
P20448	P38882
P42945	P42945
P42945	Q04177
Q06679	Q06679
P53276	P53276
P38882	P38882
Q06685	Q06685
Q12453	Q12453
Q06697	Q06697
P32657	P32657
P89105	P89105
P38439	P38439
P38351	P38351
Q04636	Q04636
P53064	P53064
P32558	P32558
Q06685	Q04636
P15790	P15790
P19454	P19454
P38930	P38930
Q04636	P19454
Q04636	P43639
Q04636	P38930
P15790	P25368
P53254	P53254
P36076	P53254
P36076	P36076
P32832	P38764
P38764	P38764
P38886	P38886
P38886	P40016
Q12377	Q12377
Q12377	Q12100
Q01939	Q08723
Q01939	Q01939
P43593	Q06103
P43593	Q08723
P43593	P33298
P43593	P43593
P32497	P32497
P06103	P06103
Q04067	Q04067
P09032	P09032
P32481	P32481
P32501	P60010
P32501	P32501
P27476	P09064
Q08920	Q06142
Q06142	Q06142
Q12499	Q06142
Q12499	Q02821
P53261	Q06142
P53261	Q02821
P06103	Q06142
P53552	Q06142
Q12149	Q06142
P38961	Q06142
P38961	Q02821
P43609	Q06142
Q03782	Q06142
P32585	Q02821
Q02821	Q02821
Q03195	Q03195
Q03195	P05317
Q03195	P53846
P40968	P40968
P32523	P32523
Q01329	Q01329
P50095	P38697
P50095	P50095
P47047	P50095
P53295	P53295
Q03768	Q03768
Q06344	Q03768
P24276	P24276
P30656	P30656
P30656	Q07878
P40303	P40303
P23639	P38624
P23639	P25043
P23639	Q07878
P53909	P53909
P32357	P32357
P40825	P40825
Q06338	Q06338
Q06338	Q08961
P31384	P31384
P25655	P25655
Q04217	Q04217
P38803	P38803
P53145	P53145
P32505	P32505
P30771	P30771
P40368	P40368
P32319	P32319
Q04373	Q04373
Q12211	Q12211
P48567	P48567
Q08096	Q08096
P21538	P21538
Q02555	Q02555
P33399	P33399
P04801	P04801
P05453	P05453
P15565	P53136
P15565	P15565
Q07527	Q07527
P38238	P38238
Q08924	Q08924
Q06672	Q06672
Q05946	Q05946
P40362	P40362
Q06078	Q06078
P28274	P28274
P38219	P38219
P34241	P34241
P48362	P48362
Q00955	P40413
Q00955	Q06708
Q05911	P06103
P04046	P31373
P04046	P11745
Q06624	P00330
Q06624	P16521
P38270	P17255
P36000	P09440
P36000	P22138
P38065	Q99186
Q08951	P43639
P46682	P00925
Q05933	P33204
Q05933	P16861
Q05933	P06103
P53731	P33204
P38328	P40518
P38328	Q05933
P38328	P33204
P07347	P38011
P07347	P00924
P07347	P09440
P07347	P08964
P07347	P53254
P08566	P47079
P08566	P14742
P08566	P15108
P08566	P28241
P08566	P16861
P08566	Q04062
P08566	Q01939
P08566	P39676
P32381	P33204
P32381	P40413
P32381	P47079
P47117	P33204
P47117	P53742
P32447	P47171
P32447	P40513
P32447	P09938
P32447	P49723
P36149	P38631
Q00618	P20133
P34730	P35172
P34730	P31374
P27637	P38011
P27637	P38788
P27637	P32527
Q08004	Q12522
Q08004	P40078
Q08004	P33399
Q08004	Q02892
Q08004	P25382
Q08004	P40010
Q08004	P38779
Q08004	P38803
Q08004	Q12019
Q08004	P53927
Q08004	P53877
P28495	P40045
P00812	P26637
P00812	P14742
Q08920	Q07508
Q08920	Q01560
Q08920	Q04693
Q08920	Q06217
Q08920	Q00916
Q08920	Q03782
Q08920	Q02821
Q08920	P39936
Q08920	Q03735
P33322	Q03532
P33322	P32497
P33322	P15646
P33322	P37838
P33322	P39936
P33322	Q04373
P33322	Q12754
P21269	P00925
P37366	Q12522
P37366	P35177
P37366	Q12123
P31384	P39079
P31384	P33892
Q00684	Q12329
P11433	Q06488
P00546	P21826
P07260	P33399
P07260	P21951
P07260	P51862
P07260	P35194
P06100	P32453
P25655	P53622
P25655	P41811
P25655	Q12415
Q08032	P40495
Q08032	P32561
Q08032	P22579
P38132	P53199
P25694	P41832
P25694	P21771
P25694	P53063
P25694	Q00816
Q00362	P40987
Q00362	P47170
Q00362	P16861
Q00362	P36008
Q00362	P38164
Q00362	P16521
Q00362	Q12159
Q12522	Q12389
Q12522	P32892
Q12522	Q03532
Q12522	P53973
Q12522	P06633
Q12522	P33399
Q12522	P53185
Q12522	P32497
Q12522	P15646
Q12522	P06103
Q12522	P40693
Q12522	P38805
Q12522	P38249
Q12522	P40007
Q12522	Q07896
